,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
44,lh_S_central_thickness,-14439.399886132476,0.43387387038487035,-0.7581805666986172,-28853.88572825059,0.41197798985535555,0.4837177692958381
45,lh_S_cingul-Marginalis_thickness,-12745.357616724139,0.3426842316592956,-0.7699500082710872,-25465.801189433914,0.2578577891097503,0.9956004561619695
46,lh_S_circular_insula_ant_thickness,-3579.4709362611434,0.29564620196077873,-0.4802583090937877,-7134.027828507922,0.3753953072994066,0.9171879923992772
47,lh_S_circular_insula_inf_thickness,-4010.857980973916,0.16633748478475996,-0.19441340625634604,-7996.801917933467,0.35720790043084016,1.035116029482381
48,lh_S_circular_insula_sup_thickness,-16933.83370749129,0.30168014330666937,-0.6217310061200594,-33842.75337096821,0.4075939814469289,0.6908643747244034
49,lh_S_collat_transv_ant_thickness,-272.9152654652496,0.31138604730931874,-0.45834764048249566,-520.9164869161344,0.5061435917492441,1.0044368533514987
50,lh_S_collat_transv_post_thickness,-6420.161641529388,0.11046583756505834,-0.39543328196896727,-12815.409239044411,0.9426179748858096,2.332131690808749
51,lh_S_front_inf_thickness,-16823.511776258933,0.3913831849479479,-1.1514013405892773,-33622.1095085035,0.24969737885371185,0.8909664243516815
52,lh_S_front_middle_thickness,-13521.63924411825,0.29758600831655746,-0.967366631209207,-27018.364444222138,0.44812682727741615,0.8148720637649655
53,lh_S_front_sup_thickness,-16130.782509311332,0.4495120559856771,-1.021573546430538,-32236.6509746083,0.17043885401644865,0.7568454971724599
54,lh_S_interm_prim-Jensen_thickness,8317.056005061344,0.014819575458083323,-0.2644557060941777,16659.02605413705,1.2062169066261292,2.404076767006246
55,lh_S_intrapariet&P_trans_thickness,-17425.24864580407,0.40973198396337596,-1.2179388595023775,-34825.58324759377,0.04235740660341518,1.2643800294933079
56,lh_S_oc_middle&Lunatus_thickness,-12455.111688178857,0.16557777660058814,-0.746222043498737,-24885.30933234335,0.5803422024786709,1.1858261182432643
57,lh_S_oc_sup&transversal_thickness,-14601.16465222414,0.18669932315552307,-0.8918278478277687,-29177.415260433918,0.4974989784013977,0.9521831127613585
58,lh_S_occipital_ant_thickness,-8529.275810042662,0.1397626519303311,-0.5441531424636152,-17033.63757607096,0.47029976196510004,0.9270996471756154
59,lh_S_oc-temp_lat_thickness,-9904.391549056872,0.2259841125402925,-0.632593078624098,-19783.86905409938,0.9188713036858821,3.7099261873033194
60,lh_S_oc-temp_med&Lingual_thickness,-12463.828999257794,0.26750127553829695,-0.27728486718564416,-24902.743954501224,1.0429150888780736,3.47038233927254
61,lh_S_orbital_lateral_thickness,-1483.5660467913513,0.1091248722680761,-0.49129355952260956,-2942.218049568338,0.8990213578816231,1.4227401139136138
62,lh_S_orbital_med-olfact_thickness,-7526.94292784192,0.42743329438263733,-0.32307895252194174,-15028.971811669475,0.40529709923467844,1.8107498691350776
63,lh_S_orbital-H_Shaped_thickness,-7332.4839686600335,0.22307758352522544,-0.5420417823939804,-14640.053893305701,0.6163779186562803,1.8652613696287184
64,lh_S_parieto_occipital_thickness,-14010.102286969697,0.3189953902553173,-0.7090631548655377,-27995.29052992503,0.29183759689192473,0.4826214638930565
65,lh_S_pericallosal_thickness,6381.765645735433,0.13462458011857004,-0.042717077397718226,12788.445335485232,0.7937007312964391,1.3229921082082265
66,lh_S_postcentral_thickness,-14733.45384588275,0.37897736065669874,-1.0408608644858686,-29441.993647751136,0.3490268945190307,0.7502677914229724
