eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
VisualB_ControlA,-3499.3905016127405,0.17535655178787735,-0.10877418088529016,-6958.784539771283,0.27257571501185274,0.027827634692112156
VisualB_ControlB,-4629.114396195765,0.13138734615895853,-0.07991163031063574,-9218.232510701811,0.08442378087662034,0.4659634985718925
VisualB_ControlC,-4217.763878961065,0.1679140671069097,-0.12153688029511477,-8395.53147623241,-0.01848316858619189,-0.07607643665591267
VisualB_DefaultA,-1412.5417348026647,0.28874727158504765,-0.20859659294072974,-2785.0870061511314,-0.02000175899068442,-0.03388832422954638
VisualB_DefaultB,-2388.4004054609886,0.30735480603756193,-0.23538069898184785,-4736.804347467779,0.1641333480107363,-0.03370916790588934
VisualB_DefaultC,-2711.642822285016,0.4081377834104968,-0.374835294348458,-5383.289181115833,-0.5113297549140977,0.5797885442009066
VisualB_TemporalParietal,-3136.2356708752313,0.3549180361021823,-0.28340002065608505,-6232.474878296264,-0.0283240777713133,0.1611963985591513
SensorimotorA_SensorimotorB,37.097643300590335,0.15998060009412296,-0.08989798642144335,114.1917500553788,0.7856708677414581,1.5067420551563182
SensorimotorA_DorsalAttnA,484.42351003081893,0.2176122474751172,-0.15012460141979403,1008.843483515836,0.46728541837271387,0.4862306076230182
SensorimotorA_DorsalAttnB,-792.3313728376951,0.16014885910337984,-0.09979593687388558,-1544.666282221192,0.21213220174377012,-0.056051378836988006
SensorimotorA_VentralAttnA,-2187.679058674081,0.08326792945835826,-0.05408437147629741,-4335.361653893963,-0.3720966295326488,0.2536275199255912
SensorimotorA_VentralAttnB,967.46045487034,0.1618560904777746,-0.0952157906282723,1974.917373194878,0.6175911258677939,1.1912297840276223
SensorimotorA_LimbicA,-3062.0426987510436,-0.03105966160624174,-0.1799479726427459,-6084.088934047889,0.33422238403916016,0.34648437068822235
SensorimotorA_LimbicB,-3215.9810496421187,-0.014006528349274072,-0.09094206740891798,-6391.965635830039,0.5427462524826667,1.204423967553015
SensorimotorA_ControlA,-2228.059239163576,0.19240691192770543,-0.11692542495510781,-4416.1220148729535,0.2673829571538677,-0.30641238493743267
SensorimotorA_ControlB,-2399.7946703039474,0.21456305198125625,-0.14650988987833977,-4759.5928771536965,0.06345228923508399,0.23094162195936122
SensorimotorA_ControlC,-371.67007721623946,0.2500454942841447,-0.2087285050820944,-703.3436909782807,1.1858232779863338,2.702644285762155
SensorimotorA_DefaultA,-963.7422863971703,0.2996843472225409,-0.22440150219746302,-1887.4881093401425,-0.07728307340041835,-0.2727488830588042
SensorimotorA_DefaultB,-2736.0823323583345,0.3334811740069442,-0.2582972193449344,-5432.168201262471,0.04425076075186118,-0.23880253186771236
SensorimotorA_DefaultC,-2501.2131396346945,0.371904702046547,-0.3076646493086002,-4962.4298158151905,0.24823927201364213,1.1148083743566894
SensorimotorA_TemporalParietal,-817.5395027714868,0.42178561119083213,-0.36394139591526026,-1595.0825420887754,1.177541481693367,4.114945840966252
SensorimotorB_DorsalAttnA,-1785.3570491239113,0.3742628954398155,-0.3131197405161402,-3530.7176347936247,-0.1205827236416156,-0.06424000503476565
SensorimotorB_DorsalAttnB,-983.3826273197047,0.24634470530315267,-0.1982102117693628,-1926.7687911852113,0.37080416413158523,0.4678747768397258
SensorimotorB_VentralAttnA,-1402.6370947681442,0.05069218325027136,-0.04403649293965893,-2765.2777260820903,0.29495879446372963,0.22302373800957764
SensorimotorB_VentralAttnB,-567.1034054699581,0.2194157553322037,-0.11773131211892635,-1094.210347485718,0.6525518071052809,0.6791842932252904
SensorimotorB_LimbicA,-1393.308388989107,0.07131261497052066,-0.20955132488324724,-2746.620314524016,0.9712572559596124,1.0954815155699364
SensorimotorB_LimbicB,-3252.9924448002907,0.04527168397795078,-0.24490659014886879,-6465.988607910862,0.1734912468627861,0.014782354876965836
SensorimotorB_ControlA,-3253.4628577845556,0.2691541782865051,-0.1672683514443754,-6466.929252114913,0.3441507157789956,-0.44030984330252604
SensorimotorB_ControlB,-2297.1854623109257,0.3036832695516537,-0.21829315693456527,-4554.374461167653,0.08277807415798595,0.12954286796223288
SensorimotorB_ControlC,-2261.235463509824,0.3333784999481325,-0.25056035278550787,-4482.47446356545,0.19481184672121724,-0.04024666199560443
SensorimotorB_DefaultA,1860.3593399459721,0.22051223658501595,-0.15774980038682532,3760.715143346142,0.08512881701892441,-0.4812443635533374
SensorimotorB_DefaultB,-1473.1107370144691,0.4067008544596086,-0.4028307322259444,-2906.2250105747403,-0.11797833945854949,-0.26710315000558804
SensorimotorB_DefaultC,-1414.6695643157348,0.4306550234269604,-0.40739922514059296,-2789.3426651772716,0.0005554869817491167,0.01944964609816247
SensorimotorB_TemporalParietal,-764.3400530645201,0.46813350990211333,-0.3832137587198979,-1488.683642674842,-0.01928985474148571,-0.17027963262239437
DorsalAttnA_DorsalAttnB,-3099.9185147015096,0.08768944475967533,-0.07670765282007834,-6159.840565948821,-0.3546421212370684,0.07678700211972536
DorsalAttnA_VentralAttnA,-3956.130558273563,0.26175448305265325,-0.22570416662770418,-7872.264653092928,-0.2530550861825648,0.024687055042246355
DorsalAttnA_VentralAttnB,-3215.5605825140105,0.29906165593487477,-0.22129533221799508,-6391.124701573823,-0.19088393060446351,0.2010288468797799
DorsalAttnA_LimbicA,-2863.304561341437,0.0413717311156957,-0.08570821840457674,-5686.6126592286755,0.1180933104261212,0.2831435605580372
DorsalAttnA_LimbicB,-3216.613080316387,0.03537945828371425,-0.08191367767260237,-6393.229697178575,0.2850487139305897,0.6485854213305274
DorsalAttnA_ControlA,-1211.6252884386784,0.06609839384875682,-0.2736753148318858,-2383.2541134231587,0.06687811659711272,-0.2579772300635742
DorsalAttnA_ControlB,-4132.883566401641,0.16290378014751095,-0.14634638920339343,-8225.770669349084,-0.33217876633334625,0.1319030015462264
DorsalAttnA_ControlC,-2628.290634964707,0.27976436498992185,-0.22902642934498157,-5216.584806475215,-0.1495114091680936,0.011768277874944288
DorsalAttnA_DefaultA,162.81766138251544,0.2796842366727802,-0.22425931053886408,365.631786219229,-0.1351735114762297,0.3385308210528434
DorsalAttnA_DefaultB,-1773.4076171712693,0.16233620844507857,-0.22190527165550844,-3506.8187708883406,0.1736041850134164,-0.27581110447894724
DorsalAttnA_DefaultC,-975.4417698374683,0.33314188584094684,-0.2836654280970318,-1910.8870762207384,0.18815182120385518,0.3736238218542582
DorsalAttnA_TemporalParietal,-780.0556414272975,0.3869073296617398,-0.35185987356250614,-1520.1148194003968,-0.1189997421618378,0.370392712885792
DorsalAttnB_VentralAttnA,-4504.151554983403,0.06761465752105034,-0.04771610918599752,-8968.306646512608,-0.4318904316220528,1.0804838377442287
DorsalAttnB_VentralAttnB,-2177.977458486105,0.2293375442410508,-0.13748266735768971,-4315.958453518012,0.15897387074699357,0.4181495255056753
DorsalAttnB_LimbicA,-2395.396381571544,0.03144048148993217,-0.15980222924632115,-4750.79629968889,0.4959245964031214,0.76779726560614
DorsalAttnB_LimbicB,-2406.6489968243272,0.03727874869057024,-0.10139634717780081,-4773.301530194456,0.4657460117543454,1.2538824111549856
DorsalAttnB_ControlA,-1840.5114661480388,0.09274186001416951,-0.12461371018883768,-3641.0264688418797,0.23347738365159731,-0.3703010260099026
DorsalAttnB_ControlB,-3028.3676477147583,0.09632303246476404,-0.07708035984597453,-6016.738831975318,0.6006550365456189,1.0065965887345858
DorsalAttnB_ControlC,-2287.1745050371605,0.3174706566186165,-0.2363375658785207,-4534.352546620123,0.030859432249789112,0.34039462968183465
DorsalAttnB_DefaultA,670.5025471261613,0.3232661536931192,-0.2657611884099485,1381.0015577065208,-0.008554483812989377,1.0537189058620695
DorsalAttnB_DefaultB,-1239.082981254375,0.29415674427507055,-0.2777343454657267,-2438.169499054552,0.1199819535307021,-0.2663093770536889
DorsalAttnB_DefaultC,-125.35012554084966,0.4287014584308185,-0.38378091764305405,-210.70378762750119,0.26472282482319204,0.9163695026430673
DorsalAttnB_TemporalParietal,160.25283142341888,0.47381442980556765,-0.416063091888642,360.5021263010359,-0.013132575538631513,1.3662665208452671
VentralAttnA_VentralAttnB,-2996.003482198682,0.05175153812680244,-0.033591995729300404,-5952.010500943165,0.23717407377728386,0.019668006494907426
VentralAttnA_LimbicA,-2864.73049935408,0.09827921373693493,-0.17812912659462243,-5689.464535253962,0.3321779205504021,0.3977335022264517
VentralAttnA_LimbicB,-1791.2000282085683,0.05655489607404662,-0.11403866135592766,-3542.4035929629385,0.19928623613855165,0.9345975713161417
VentralAttnA_ControlA,-1860.7609912532898,0.16146330576154677,-0.11156079416220759,-3681.5255190523817,0.09822701600204815,-0.4082840917000843
VentralAttnA_ControlB,-1813.5318891117274,0.20317649728104836,-0.1365418091457668,-3587.067314769257,-0.02988392982642458,0.19332189922869686
VentralAttnA_ControlC,-1092.9071756502203,0.29244606644155824,-0.20708015297109517,-2145.8178878462427,-0.11082944003930671,0.3620922611763292
VentralAttnA_DefaultA,1347.3538397303755,0.21827693363200695,-0.15537198255684506,2734.704142914949,-0.1530910669494703,0.18800706709722542
VentralAttnA_DefaultB,200.2977321804243,0.374263247294329,-0.3276966875565074,440.59192781504674,-0.09642426321271681,-0.4901790767582898
VentralAttnA_DefaultC,1673.3648194494704,0.39724816212783365,-0.317366880058601,3386.7261023531387,-0.0057220953742203075,0.7605923223124177
VentralAttnA_TemporalParietal,832.2961466064506,0.4451080767011203,-0.3282774219709242,1704.5887566670995,-0.0011852574604565957,0.7511696443951157
VentralAttnB_LimbicA,-3678.0382218816585,0.032136199457123205,-0.14167447990436027,-7316.079980309119,0.5140637278950257,0.9286478666190433
VentralAttnB_LimbicB,-1854.2277657278419,0.0028135134536456663,-0.14172176303425094,-3668.459068001486,0.5376656137722807,1.4082375851768107
VentralAttnB_ControlA,-2520.2661111584403,0.1683877566227593,-0.14779470074290882,-5000.535758862682,-0.0010008260804670794,-0.3781447932728435
VentralAttnB_ControlB,-1695.338440156814,0.23542028067537057,-0.18774730447929328,-3350.68041685943,0.6713016566384552,0.9211040563862756
VentralAttnB_ControlC,-832.5005435774373,0.23016543928836253,-0.1824879014960244,-1625.0046237006763,-0.15639330895656225,-0.11452995264466924
VentralAttnB_DefaultA,-558.0012049222257,0.22341141899320316,-0.15694243863546106,-1076.0059463902533,-0.18115570085689378,0.7023921352919472
VentralAttnB_DefaultB,-1891.4082063926894,0.4138518893867378,-0.3724692941513973,-3742.819949331181,0.011192355844354329,-0.16436780762161318
VentralAttnB_DefaultC,810.3864800588258,0.36937578716143604,-0.2938446734855548,1660.7694235718498,0.27444959133138086,0.5439475498070592
VentralAttnB_TemporalParietal,-46.113609505567325,0.38497109127145157,-0.2570462434643037,-52.23075555693651,0.09392918313973411,0.6535156792345984
LimbicA_LimbicB,-3487.3947490390765,-0.05712741785919295,-0.35060661679963223,-6934.793034623955,0.3397585547923709,-0.061430138542651724
LimbicA_ControlA,-5512.047727086514,0.06179169904883497,-0.037956988849364624,-10984.09899071883,0.39735677830470895,0.15723561069544198
LimbicA_ControlB,-3919.659438213852,0.04357863840778875,-0.11657472807295062,-7799.322412973505,0.36573371535754623,0.47371162228630853
LimbicA_ControlC,-4366.522526199511,-0.011451218922817308,-0.16106952252126658,-8693.048588944825,0.4035392188787069,0.29378327852361696
LimbicA_DefaultA,-2942.5811254369664,-0.010596727434889264,-0.4451093107806489,-5845.165787419734,0.36738491532066564,0.003132833786583398
LimbicA_DefaultB,-5157.729389282231,0.014538664637138377,-0.15253967406210836,-10275.462315110264,0.09161076298942472,-0.472417835274072
LimbicA_DefaultC,-5530.770986965678,-0.01397748561660106,-0.3462729198172552,-11021.545510477159,0.3841385015390877,0.40267021279929816
LimbicA_TemporalParietal,-4497.699687001147,-0.025062790771810617,-0.47083084240499967,-8955.402910548097,0.23312516023019964,-0.08554867718882862
LimbicB_ControlA,-5085.510319726001,0.00774989509937718,-0.07033844729334199,-10131.024357762284,0.2650077583910963,0.023943686518004905
LimbicB_ControlB,-3388.7972303199113,0.003379599880725337,-0.19764592800716047,-6737.597997185624,0.37949508956100414,1.173300970815225
LimbicB_ControlC,-2765.0896723128203,-0.009389706247961538,-0.41448814907032533,-5490.182881171442,0.38526038847848865,0.7832512191915643
LimbicB_DefaultA,-3580.5580054162738,-0.010685860098160305,-0.35007771171485674,-7121.119729142828,0.11385757537422785,0.3850422473250288
LimbicB_DefaultB,-5233.2752879806185,-0.008964712874158343,-0.17341192069944847,-10426.554294271518,0.1467626889799008,-0.29345754158449533
LimbicB_DefaultC,-3251.7380778605625,0.036703921066642886,-0.4390457477723164,-6463.479692266927,0.14334839693083193,0.09597642258918411
LimbicB_TemporalParietal,-1005.3806495601902,-0.040429016570734166,-0.3753088213270577,-1970.7648356661823,1.1861670793133092,2.656840808540048
ControlA_ControlB,-468.28299578497183,0.12976963146242793,-0.20407797742534234,-896.5695281157455,0.6875097948902494,0.32534941464786776
ControlA_ControlC,-4317.746617618496,0.08429627345093593,-0.12887290260528259,-8595.496771782795,0.19235931311901253,0.3769174464936235
ControlA_DefaultA,-2333.895048259493,0.1311738266331186,-0.07769466120481798,-4627.793633064787,0.2824307865996898,0.6222009997811573
ControlA_DefaultB,-3215.1056982212012,0.10817504175331238,-0.1289592475992789,-6390.214932988204,0.18185034076575338,-0.1164283781761531
ControlA_DefaultC,-649.8214701918173,0.17548067983125737,-0.12687315487371512,-1259.6464769294364,0.16355713659434248,0.2906746876036849
ControlA_TemporalParietal,-2420.7244965531404,0.17905265772666634,-0.13585782919837205,-4801.452529652082,0.13074718129639254,0.3255280400536187
ControlB_ControlC,-2720.8424569340214,0.06650584737471443,-0.12582668885947773,-5401.688450413844,-0.10603054580137268,-0.07101765364232875
ControlB_DefaultA,957.6522551553257,0.2508343420505782,-0.1437048808047649,1955.3009737648497,0.9982357660467039,1.500095225099697
ControlB_DefaultB,-2626.6760750233916,0.19942275358583694,-0.19267488166859373,-5213.355686592585,-0.005486505070582816,-0.27861705739497655
ControlB_DefaultC,56.101307428298014,0.32634729521239825,-0.2719028253601208,152.19907831079416,0.28516836973716614,0.24170777768542553
ControlB_TemporalParietal,188.25784830955396,0.336606962588053,-0.22574437658788749,416.51216007330606,0.12515614101706993,0.2057028121402939
ControlC_DefaultA,-1391.4601647020086,0.24916930441983876,-0.19083531722656574,-2742.923865949819,0.07823309572062129,0.061939568453096984
ControlC_DefaultB,-2802.4005893211656,0.2238485623497538,-0.14295988931075088,-5564.804715188133,0.3568289687746232,-0.3165585274148078
ControlC_DefaultC,-2288.168293134961,0.27192133971678634,-0.3176456819791771,-4536.340122815724,0.02763415753732301,-0.25121990902512975
ControlC_TemporalParietal,-1822.6898814052472,0.25010505005214545,-0.16323983597749958,-3605.3832993562964,0.18040427101201267,-0.22925252518184733
DefaultA_DefaultB,-953.7002037136388,0.2509666402457137,-0.23263930309514905,-1867.4039439730793,-0.12830477940801557,0.01949668216374296
DefaultA_DefaultC,-903.6710550378594,0.270154413749061,-0.21691225850507342,-1767.3456466215207,0.13553620046609632,0.05144117776112235
DefaultA_TemporalParietal,-76.97416150546712,0.23208141643429636,-0.15650556301507468,-113.95185955673611,0.09323485780222021,-0.25994866562636293
DefaultB_DefaultC,-1720.453449491752,0.07714431432757285,-0.05597946684110761,-3400.910435529306,0.08621684840014104,-0.3332070560140196
DefaultB_TemporalParietal,-2047.344847344394,0.15959869740642207,-0.11620911278016123,-4054.6932312345903,-0.24982757500546834,-0.34036373509794376
DefaultC_TemporalParietal,-3010.3546138192455,0.0691225127106797,-0.1700216294090588,-5980.712764184293,0.3538165250362092,-0.28117272186780323
