eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
VisualA_VisualB,577.7809338024266,0.007321759329016686,-0.07924297206734535,1195.5583310590514,0.18601266998756438,-0.4249777066330607
VisualA_SensorimotorA,9.547149507689571,-0.00471338323296,-0.4150512193810295,59.090762469577285,-0.03483315983571231,-0.9247359627545855
VisualA_SensorimotorB,-2164.5563821787123,0.027668841027548963,-0.5690346636175155,-4289.116300903226,0.21835740888869376,-0.2779766386757851
VisualA_DorsalAttnA,-1553.9231040151683,0.053536153410087106,-0.1499005362260587,-3067.8497445761386,-0.08703922875497354,-0.5002683282546851
VisualA_DorsalAttnB,-2098.9822926622414,0.04377740498348759,-0.4043706281244271,-4157.968121870284,-0.17015033651753558,-0.7545899385337405
VisualA_VentralAttnA,-4010.51194773601,0.05549731809248404,-0.431798452221803,-7981.027432017821,0.15368954598122553,-0.7812045608173809
VisualA_VentralAttnB,-4171.635902943649,0.04730295781374905,-0.13826544039073718,-8303.2753424331,-0.0679339346944731,0.45043736904316994
VisualA_LimbicA,-4214.631683153278,0.03423667879162784,-0.25442467249423784,-8389.266902852358,-0.31829226029340185,0.40058659473417474
VisualA_LimbicB,-4357.549141504326,0.03528731324915435,-0.14415722545126652,-8675.101819554455,0.21509698480296638,-0.27462846652146106
VisualA_ControlA,-1342.843904099518,0.061213056706425295,-0.653778964638206,-2645.6913447448383,1.0002974921945231,0.3479435271262426
VisualA_ControlB,-2983.6055292612205,0.06406109975279017,-0.21935718946069788,-5927.2145950682425,0.9492562947017011,1.6124667579609036
VisualA_ControlC,-2556.526841198557,0.06489701392625291,-0.3009958898699998,-5073.057218942916,1.008072015721256,1.4936650634418531
VisualA_DefaultA,-1920.8172894624333,0.041135564238817035,-0.6127731184726755,-3801.6381154706687,0.23293652662148956,0.36679455024611896
VisualA_DefaultB,-2146.793410346713,0.056073406131516124,-0.23031148345619548,-4253.590357239227,0.3241668990298358,-0.44478476696819436
VisualA_DefaultC,-3046.231373353332,0.06625941479709074,-0.3941397079615076,-6052.4662832524655,-0.0565193573589358,0.217360607818969
VisualA_TemporalParietal,-3754.83386659848,0.0411981362648266,-0.4483442400832195,-7469.671269742762,0.3324861710501645,0.6793998253451219
VisualB_SensorimotorA,97.12478999232864,0.03460186472792759,-0.6526649422008943,234.24604343885542,-0.10844616652354204,-0.910131653221957
VisualB_SensorimotorB,-1771.6019637506934,0.07694929861373956,-0.7971022345820549,-3503.2074640471888,-0.006331792595754044,-0.7705383814619737
VisualB_DorsalAttnA,-2483.8449041181443,0.10826568900643485,-0.26824355912900605,-4927.69334478209,0.11624922227300157,-0.8243787375223675
VisualB_DorsalAttnB,-3063.502033197391,0.09716181927559953,-0.6152909772894397,-6087.007602940584,-0.1521856024546738,-0.5989066547989145
VisualB_VentralAttnA,-3748.28150350361,0.07382013545346722,-0.5512904293603766,-7456.566543553022,-0.33332505231018816,-0.5454568186589496
VisualB_VentralAttnB,-3845.7692206818137,0.0693737652170292,-0.2979850276081449,-7651.542159673908,-0.1683216923368345,0.5294240408457503
VisualB_LimbicA,-4534.256367524022,0.026082386466284246,-0.22092308899081853,-9028.516271593846,0.15142319700412096,-0.5290676814746119
VisualB_LimbicB,-4607.798903492661,0.02406016022988766,-0.2016984248087508,-9175.601525295604,0.41537796583199355,-0.6529784779091975
VisualB_ControlA,-3499.3905016127405,0.09452924310876976,-0.4218624468471521,-6958.784539771283,0.00156085139711588,-0.4201619657405626
VisualB_ControlB,-4629.114396195765,0.11566112625237157,-0.3667182839612035,-9218.232510701811,0.2199229096406899,-0.44417907019148994
VisualB_ControlC,-4217.763878961065,0.0861641107711022,-0.39672113828127137,-8395.53147623241,0.24288829201327514,-0.027814404855999883
VisualB_DefaultA,-1412.5417348026647,0.09468231836787522,-0.766400229044754,-2785.0870061511314,-0.06185437130026909,-0.2831229890202294
VisualB_DefaultB,-2388.4004054609886,0.05948091926610921,-0.2805850854314366,-4736.804347467779,0.33797350494519546,-0.5123649203650249
VisualB_DefaultC,-2711.642822285016,0.09540416063200119,-0.5495269902729756,-5383.289181115833,-0.0906224303087223,-0.62528689453845
VisualB_TemporalParietal,-3136.2356708752313,0.07151592505592164,-0.6521779370919458,-6232.474878296264,0.07673273742007128,-0.05152069578206522
SensorimotorA_SensorimotorB,37.097643300590335,0.011716535286032115,0.012540077809039894,114.1917500553788,0.3501788741331601,-0.38862331108972786
SensorimotorA_DorsalAttnA,484.42351003081893,0.038352758961557876,-0.38045143341781756,1008.843483515836,0.509857283681507,-0.5609756776550299
SensorimotorA_DorsalAttnB,-792.3313728376951,0.055544441139998235,-0.0011253443505834931,-1544.666282221192,0.44406520379412645,-0.560685572315806
SensorimotorA_VentralAttnA,-2187.679058674081,0.006968780560448584,0.39537007362100635,-4335.361653893963,-0.2782795429708925,-0.6294711762586792
SensorimotorA_VentralAttnB,967.46045487034,-0.01174480662981825,0.03476909796233181,1974.917373194878,0.3657192095915653,-0.586020888745876
SensorimotorA_LimbicA,-3062.0426987510436,0.04209350370802056,0.1876154841974325,-6084.088934047889,-0.03253539964789708,-0.3405661336736217
SensorimotorA_LimbicB,-3215.9810496421187,0.005702767519917495,-0.03727044497307588,-6391.965635830039,0.13834272565085887,-0.639974699757497
SensorimotorA_ControlA,-2228.059239163576,0.056730342364710196,0.016442030994425233,-4416.1220148729535,-0.23385145948160854,-0.6483639678086264
SensorimotorA_ControlB,-2399.7946703039474,0.043593774482668435,0.14943025693687423,-4759.5928771536965,0.2076137773289605,-0.6783359593901229
