,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
0,VisualA_VisualB,700.8188592948038,0.3964144218639607,-0.2702328799350256,1440.046978149215,-0.35160394131321143,0.8510382935937784
1,VisualA_SensorimotorA,868.8430714323083,0.16135130850781643,-2.843732104938079,1776.095402424224,0.12157395919229683,1.1254475434851048
2,VisualA_SensorimotorB,-677.1529350712811,0.19180533525347343,-3.30219138070583,-1315.896610582955,0.14049073222906053,0.9180649851998826
3,VisualA_DorsalAttnA,-391.68635721509486,0.18069813112261524,-0.17333353695874398,-744.9634548705824,-0.20213587814697384,1.0285859950863552
4,VisualA_DorsalAttnB,-244.18924693155196,0.14820228270511981,-1.6286457335523246,-449.96923430349653,0.4464973703463834,1.1536653415711156
5,VisualA_VentralAttnA,-2080.56370255065,0.16495037149498204,-3.1407385108915435,-4122.718145541692,0.024633317414668083,0.49637398799652693
6,VisualA_VentralAttnB,-2106.068958556662,0.12581387195252458,-3.4131450446842853,-4173.728657553716,0.041201351974097876,0.6805827001856323
7,VisualA_LimbicA,-2097.4443614343586,0.13310751332595605,-4.7578366879417135,-4156.47946330911,0.23321462619464445,0.8189974672966001
8,VisualA_LimbicB,-2308.962488678738,0.11168448085803806,-5.586383894570952,-4579.515717797868,0.14783900863975202,1.0367244964662419
9,VisualA_ControlA,-1382.9653112033761,0.20743348755027635,-2.7240077899393382,-2727.5213628471447,0.12778131499560152,0.33705523180285785
10,VisualA_ControlB,-1321.2118215941869,0.16410882259397852,-1.7046995114348495,-2604.014383628766,0.7589016530887973,1.7328737558358864
11,VisualA_ControlC,-1954.9113172667767,0.17608280773551577,-3.7332493884282,-3871.413374973946,0.12114061118334281,0.6538668518362326
12,VisualA_DefaultA,-621.5626391057017,0.172603283906683,-3.21275279531481,-1204.716018651796,0.05114832393728893,0.5657149404306056
13,VisualA_DefaultB,-803.7062786446331,0.21389385047967313,-2.8297990968401248,-1569.003297729659,0.11840216941585173,0.4336536063133895
14,VisualA_DefaultC,-1278.4487307319407,0.1985880105996879,-5.04235604632661,-2518.488201904274,0.1703490380310057,0.4197769859619866
15,VisualA_TemporalParietal,-1861.13029109382,0.17572455928936426,-4.454944687149082,-3683.8513226280324,0.14653914979125104,0.5149925632983375
16,VisualB_SensorimotorA,891.0230743537242,0.288769975193627,-4.125673085560712,1820.4554082670556,0.1563611800472356,0.7704828690322576
17,VisualB_SensorimotorB,-468.50384065790024,0.3274464209309631,-3.8857005107239586,-898.5984217561931,0.11315608688278117,0.6145272594837067
18,VisualB_DorsalAttnA,-864.5339088306384,0.32235764388636956,-0.8950324939295387,-1690.6585581016695,0.13572387748868264,0.739835535835378
19,VisualB_DorsalAttnB,-1425.6712040224054,0.2806468354576074,-3.123181500235265,-2812.933148485203,0.08736622351339614,0.5114030755399898
20,VisualB_VentralAttnA,-1899.6982131921886,0.2634269445769136,-3.3523473347058386,-3760.9871668247697,0.0833570966570413,0.3746169168703162
21,VisualB_VentralAttnB,-1830.3892431067025,0.2279332498360772,-4.169194565148933,-3622.3692266537973,0.09679530075652,0.5558262619157623
22,VisualB_LimbicA,-2804.237987173064,0.23717755308964594,-10.841498513903602,-5570.066714786521,-0.14524180400456713,0.4159044822761294
23,VisualB_LimbicB,-2365.3766451769625,0.1802789132971332,-7.60333693336045,-4692.344030794317,0.20799271190441762,0.947845045376026
24,VisualB_ControlA,-1168.4604879175538,0.24945955557278054,-1.5085494557497574,-2298.5117162755,0.2645130105232929,0.4936847081377902
25,VisualB_ControlB,-2539.165974935386,0.18675604774705357,-3.6836809164597617,-5039.922690311165,0.10509464767239096,0.48454866972303995
26,VisualB_ControlC,-2301.5342939793504,0.18352718807675028,-6.5584627481687345,-4564.659328399093,0.07257422766962646,0.48464855692642556
27,VisualB_DefaultA,-181.71348813275074,0.3091831003878899,-4.693227853978145,-325.0177167058941,0.09770635431987071,0.4222965356684044
28,VisualB_DefaultB,-1042.1154320350183,0.24206763064906456,-2.4370388199180297,-2045.8216045104293,0.0527401750884073,0.3377851985091081
29,VisualB_DefaultC,-1134.2915931777495,0.21426103930038798,-6.503322291419717,-2230.1739267958915,0.11088239117470591,0.26370332481980074
30,VisualB_TemporalParietal,-1450.4428976987947,0.21400392807602853,-7.356803868093072,-2862.476535837982,0.2066818585815204,0.3810761990613538
31,SensorimotorA_SensorimotorB,-292.9557900731435,0.3210022713295906,-0.2215532065948542,-547.5023205866796,-0.1299313501415279,0.5802536276042417
32,SensorimotorA_DorsalAttnA,-172.5265965372027,0.14389584131980748,-1.4937323863277754,-306.643933514798,0.08938390087366456,0.8845480191566081
33,SensorimotorA_DorsalAttnB,177.8712445150287,0.2084696147590921,-0.09071631882808355,394.1517485896648,0.40411435154757197,0.8846317897437234
34,SensorimotorA_VentralAttnA,-713.3810668971131,0.1752592349167602,-0.20740316760262703,-1388.3528742346189,-0.17797450470745088,0.7758741030560535
35,SensorimotorA_VentralAttnB,931.2991016369702,0.24930780180788648,-1.3770320626561368,1901.0074628335478,-0.0466592517086216,0.9502026211458661
36,SensorimotorA_LimbicA,-1455.5231662730025,0.28767354207859575,-2.5837404372853516,-2872.6370729863975,0.15737894585970255,0.8282553713312334
37,SensorimotorA_LimbicB,-1552.735079563881,0.25562309795044,-3.93712421216172,-3067.0608995681546,0.16204825095050251,0.9606737268921751
38,SensorimotorA_ControlA,-864.8416054457095,0.15974039487721026,-3.6742232475404206,-1691.2739513318118,0.16759238839484636,0.4673790274010665
