eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
VisualA_VisualB,577.7809338024266,-0.21496259631796488,0.09604029348158476,1195.5583310590514,-0.26135366469458715,0.6803300039114678
VisualA_SensorimotorA,9.547149507689571,-0.04846200777529841,-0.03721991239688743,59.090762469577285,0.005352868295052235,0.207663255591034
VisualA_SensorimotorB,-2164.5563821787123,-0.032309357470554856,-0.03513828528050612,-4289.116300903226,0.16200308945678937,0.20038632046252158
VisualA_DorsalAttnA,-1553.9231040151683,-0.11350303092423575,0.12384683423868927,-3067.8497445761386,0.03324768462758377,-0.09395894719997797
VisualA_DorsalAttnB,-2098.9822926622414,-0.0763266579086237,0.04492222081370388,-4157.968121870284,0.02636346572608593,0.022246639569646894
VisualA_VentralAttnA,-4010.51194773601,-0.07634388340145026,-0.005799370255476367,-7981.027432017821,-0.034343747433068825,0.09007865812818922
VisualA_VentralAttnB,-4171.635902943649,-0.00648132820382763,0.002607218929853917,-8303.2753424331,0.06640907003975632,0.04972052750605439
VisualA_LimbicA,-4214.631683153278,0.02780601476208988,0.03893158165210189,-8389.266902852358,0.34516885991713525,0.18339738977940664
VisualA_LimbicB,-4357.549141504326,0.03063375503450727,0.026694430995879998,-8675.101819554455,0.41371950696950305,0.49712731784205594
VisualA_ControlA,-1342.843904099518,-0.16169645252110176,0.12082889991881517,-2645.6913447448383,1.0216633898152114,1.3106689288138142
VisualA_ControlB,-2983.6055292612205,-0.05665389150848665,0.05822672194856989,-5927.2145950682425,1.0845117489328335,1.7548560793871466
VisualA_ControlC,-2556.526841198557,0.009968561220361272,0.011749878702288217,-5073.057218942916,1.0930793789756283,1.6264639446688938
VisualA_DefaultA,-1920.8172894624333,-0.025095481406891773,0.062931166573787,-3801.6381154706687,0.1599293780056634,-0.04186201003260088
VisualA_DefaultB,-2146.793410346713,-0.06310315810732248,0.15834563898756412,-4253.590357239227,0.34663020262362865,0.07865034605712663
VisualA_DefaultC,-3046.231373353332,-0.03926157609412728,0.1848737603208351,-6052.4662832524655,0.14733889085889829,0.0044646079361821715
VisualA_TemporalParietal,-3754.83386659848,0.016051326247023434,0.06946779250711499,-7469.671269742762,0.2684609899811271,0.1826982794831386
VisualB_SensorimotorA,97.12478999232864,-0.09223496179393864,0.07409331179441972,234.24604343885542,0.22275471540667952,0.32580731619326186
VisualB_SensorimotorB,-1771.6019637506934,-0.04377968030670121,0.14953848635030956,-3503.2074640471888,0.1439024538714417,0.33649460008412735
VisualB_DorsalAttnA,-2483.8449041181443,-0.2275287968933486,0.22976361579286242,-4927.69334478209,0.16804000564227833,0.24597136580655868
VisualB_DorsalAttnB,-3063.502033197391,-0.16212260788516453,0.09763973448102896,-6087.007602940584,0.22589289734444787,0.6342678751371573
VisualB_VentralAttnA,-3748.28150350361,-0.20043527466640554,0.19091367728528977,-7456.566543553022,-0.17548962694476386,0.1569610819682804
VisualB_VentralAttnB,-3845.7692206818137,-0.10299713946214584,0.20570428809476143,-7651.542159673908,-0.11917199048132049,0.25371484197378175
VisualB_LimbicA,-4534.256367524022,-0.16760545969623597,0.5179147305406259,-9028.516271593846,-0.037644876466292686,0.12443498196410067
VisualB_LimbicB,-4607.798903492661,-0.08699496059159384,0.3683767516707362,-9175.601525295604,0.2952093772134229,0.3034907249614831
VisualB_ControlA,-3499.3905016127405,-0.25180998751401806,0.22470865799558973,-6958.784539771283,0.3415175472922454,-0.06322277774974622
VisualB_ControlB,-4629.114396195765,-0.11841017409986554,0.24605623473783922,-9218.232510701811,0.2447124559259255,0.47271364154916773
VisualB_ControlC,-4217.763878961065,-0.052287703542838626,0.34874007282423086,-8395.53147623241,0.24212796625978605,0.047115237428739104
VisualB_DefaultA,-1412.5417348026647,-0.025987634362319545,0.2994688627625292,-2785.0870061511314,0.21208221688939424,-0.2160654711337049
VisualB_DefaultB,-2388.4004054609886,-0.15445182301746851,0.5326458806731091,-4736.804347467779,0.2785011342036693,-0.09334676750923925
VisualB_DefaultC,-2711.642822285016,-0.04009931348765816,0.45761133657001385,-5383.289181115833,0.10372397670932265,-0.10281636424629909
VisualB_TemporalParietal,-3136.2356708752313,-0.028646764180215945,0.40471992217326125,-6232.474878296264,0.3802558996203161,0.17810743305197022
SensorimotorA_SensorimotorB,37.097643300590335,-0.11206845327504444,0.28024313618929153,114.1917500553788,0.5482524975381622,0.7697396004013893
SensorimotorA_DorsalAttnA,484.42351003081893,-0.08069714968410646,0.008343620335669422,1008.843483515836,0.8829574946208926,0.8123975467393063
SensorimotorA_DorsalAttnB,-792.3313728376951,-0.2074468619563885,0.16016860731425192,-1544.666282221192,0.6142611545194012,0.684966993195776
SensorimotorA_VentralAttnA,-2187.679058674081,-0.1305252619166457,0.13595737682039774,-4335.361653893963,-0.02657675666167253,0.08878173483869721
SensorimotorA_VentralAttnB,967.46045487034,-0.08203730412628496,0.06713473664896281,1974.917373194878,0.7565256838246903,0.8400346241209451
SensorimotorA_LimbicA,-3062.0426987510436,0.1465288239549688,0.12931410504260266,-6084.088934047889,0.2042853027518988,-0.25233491402899944
SensorimotorA_LimbicB,-3215.9810496421187,0.10964296614041291,0.010200242381526049,-6391.965635830039,-0.02803509569986345,0.006773498937815566
SensorimotorA_ControlA,-2228.059239163576,-0.14662875658862573,0.1811110740633009,-4416.1220148729535,0.3585027108931477,0.23846188054423084
SensorimotorA_ControlB,-2399.7946703039474,-0.056828790959824405,0.1438934530371888,-4759.5928771536965,0.19762947286460486,-0.3927135656588698
